=== Market Cap Auto-Sell Monitor ===

Sell trigger: $6000 market cap
Monitoring 10 tokens:

  SEEKBOT (wallet-1): 9T95V7S1y7L8...
  AVAULT (wallet-2): APXYEg1wQheu...
  NSWAP (wallet-3): 7PV9EpZXivde...
  PCHAIN (wallet-4): D8u7g47FCPtM...
  SEEDG (wallet-5): 8k51Q6gvA8nU...
  SKNET (wallet-6): FYVK2YQrXT47...
  MDAO (wallet-7): GFgbDMJmMmrK...
  TRELAY (wallet-8): AemCtvSpewGh...
  CSIGN (wallet-9): kynRpxt3ASUk...
  SWARM (wallet-10): F3kXwe6eF8hS...

Starting monitor (polling every 15s + WebSocket)...
  [10:07:37 AM] AVAULT: $5178 mcap (target: $6000)
  [10:07:39 AM] NSWAP: $5178 mcap (target: $6000)
  [10:07:39 AM] NSWAP trade: mcap ~$2426 (buy)
  [10:07:40 AM] PCHAIN: $5167 mcap (target: $6000)
  [10:07:42 AM] SEEDG: $5207 mcap (target: $6000)
  [10:07:44 AM] SKNET: $5172 mcap (target: $6000)
  [10:07:46 AM] MDAO: $5334 mcap (target: $6000)
  [10:07:48 AM] TRELAY: $5222 mcap (target: $6000)
  [10:07:49 AM] CSIGN: $5365 mcap (target: $6000)
  [10:07:51 AM] SWARM: $5243 mcap (target: $6000)
  [10:08:09 AM] SEEKBOT: $5204 mcap (target: $6000)
  [10:08:11 AM] AVAULT: $5187 mcap (target: $6000)
  [10:08:13 AM] NSWAP: $5191 mcap (target: $6000)
  [10:08:14 AM] PCHAIN: $5177 mcap (target: $6000)
  [10:08:16 AM] SEEDG: $5217 mcap (target: $6000)
  [10:08:18 AM] SKNET: $5182 mcap (target: $6000)
  [10:08:19 AM] MDAO: $5344 mcap (target: $6000)
  [10:08:21 AM] TRELAY: $5232 mcap (target: $6000)
  [10:08:23 AM] CSIGN: $5375 mcap (target: $6000)
  [10:08:25 AM] SWARM: $5253 mcap (target: $6000)
  [10:08:37 AM] TRELAY trade: mcap ~$2299 (buy)
  [10:08:41 AM] SEEKBOT: $4837 mcap (target: $6000)
  [10:08:43 AM] AVAULT: $4821 mcap (target: $6000)
  [10:08:45 AM] NSWAP: $4824 mcap (target: $6000)
  [10:08:47 AM] PCHAIN: $4811 mcap (target: $6000)
  [10:08:50 AM] SEEDG: $4849 mcap (target: $6000)
  [10:08:52 AM] SKNET: $4816 mcap (target: $6000)
  [10:08:54 AM] MDAO: $4966 mcap (target: $6000)
  [10:08:55 AM] TRELAY: $4866 mcap (target: $6000)
  [10:08:57 AM] CSIGN: $4996 mcap (target: $6000)
  [10:08:59 AM] SWARM: $4882 mcap (target: $6000)
  [10:09:16 AM] SEEKBOT: $4837 mcap (target: $6000)
  [10:09:18 AM] AVAULT: $4821 mcap (target: $6000)
  [10:09:19 AM] NSWAP: $4824 mcap (target: $6000)
  [10:09:21 AM] PCHAIN: $4811 mcap (target: $6000)
  [10:09:22 AM] SEEKBOT trade: mcap ~$2274 (buy)
  [10:09:23 AM] SEEDG: $4849 mcap (target: $6000)
  [10:09:24 AM] SKNET: $4816 mcap (target: $6000)
  [10:09:26 AM] CSIGN trade: mcap ~$2436 (buy)
  [10:09:26 AM] MDAO: $4966 mcap (target: $6000)
  [10:09:28 AM] TRELAY: $4866 mcap (target: $6000)
  [10:09:29 AM] CSIGN: $5010 mcap (target: $6000)
  [10:09:31 AM] SWARM: $4882 mcap (target: $6000)
  [10:09:48 AM] SEEKBOT: $5219 mcap (target: $6000)
  [10:09:50 AM] AVAULT: $5198 mcap (target: $6000)
  [10:09:52 AM] NSWAP: $5201 mcap (target: $6000)
  [10:09:54 AM] PCHAIN: $5188 mcap (target: $6000)
  [10:09:56 AM] SEEDG: $5228 mcap (target: $6000)
  [10:09:57 AM] SKNET: $5193 mcap (target: $6000)
  [10:09:59 AM] MDAO: $5355 mcap (target: $6000)
  [10:10:01 AM] TRELAY: $5247 mcap (target: $6000)
  [10:10:03 AM] CSIGN: $5402 mcap (target: $6000)
  [10:10:04 AM] SWARM: $5264 mcap (target: $6000)
  [10:10:20 AM] TRELAY trade: mcap ~$2486 (buy)
  [10:10:21 AM] SEEKBOT: $5227 mcap (target: $6000)
  [10:10:23 AM] AVAULT: $5206 mcap (target: $6000)
  [10:10:25 AM] NSWAP: $5210 mcap (target: $6000)
  [10:10:26 AM] PCHAIN: $5196 mcap (target: $6000)
  [10:10:28 AM] SEEDG: $5236 mcap (target: $6000)
  [10:10:30 AM] SKNET: $5201 mcap (target: $6000)
  [10:10:32 AM] MDAO: $5364 mcap (target: $6000)
  [10:10:33 AM] TRELAY: $5259 mcap (target: $6000)
  [10:10:35 AM] CSIGN: $5410 mcap (target: $6000)
  [10:10:37 AM] SWARM: $5272 mcap (target: $6000)
  [10:10:50 AM] SWARM trade: mcap ~$2502 (buy)
  [10:10:54 AM] SEEKBOT: $4840 mcap (target: $6000)
  [10:10:56 AM] AVAULT: $4821 mcap (target: $6000)
  [10:10:57 AM] NSWAP: $4824 mcap (target: $6000)
  [10:10:59 AM] PCHAIN: $4811 mcap (target: $6000)
  [10:11:01 AM] SEEDG: $4849 mcap (target: $6000)
  [10:11:03 AM] SKNET: $4816 mcap (target: $6000)
  [10:11:05 AM] MDAO: $4966 mcap (target: $6000)
  [10:11:06 AM] TRELAY: $4869 mcap (target: $6000)
  [10:11:08 AM] CSIGN: $5010 mcap (target: $6000)
  [10:11:10 AM] SWARM: $4885 mcap (target: $6000)
  [10:11:27 AM] SEEKBOT: $4840 mcap (target: $6000)
  [10:11:29 AM] AVAULT: $4821 mcap (target: $6000)
  [10:11:30 AM] NSWAP: $4824 mcap (target: $6000)
  [10:11:32 AM] PCHAIN: $4811 mcap (target: $6000)
  [10:11:34 AM] SEEDG: $4849 mcap (target: $6000)
  [10:11:36 AM] SKNET: $4816 mcap (target: $6000)
  [10:11:36 AM] SEEKBOT trade: mcap ~$2277 (buy)
  [10:11:37 AM] MDAO: $4966 mcap (target: $6000)
  [10:11:40 AM] TRELAY: $4869 mcap (target: $6000)
  [10:11:42 AM] CSIGN: $5010 mcap (target: $6000)
  [10:11:44 AM] SWARM: $4885 mcap (target: $6000)
  [10:12:01 AM] SEEKBOT: $5234 mcap (target: $6000)
  [10:12:03 AM] AVAULT: $5209 mcap (target: $6000)
  [10:12:05 AM] NSWAP: $5213 mcap (target: $6000)
  [10:12:06 AM] PCHAIN: $5199 mcap (target: $6000)
  [10:12:08 AM] SEEDG: $5239 mcap (target: $6000)
  [10:12:10 AM] SKNET: $5204 mcap (target: $6000)
  [10:12:12 AM] MDAO: $5367 mcap (target: $6000)
  [10:12:13 AM] TRELAY: $5262 mcap (target: $6000)
  [10:12:15 AM] CSIGN: $5414 mcap (target: $6000)
  [10:12:17 AM] SWARM: $5279 mcap (target: $6000)
  [10:12:34 AM] SEEKBOT: $5242 mcap (target: $6000)
  [10:12:36 AM] AVAULT: $5217 mcap (target: $6000)
  [10:12:37 AM] NSWAP: $5221 mcap (target: $6000)
  [10:12:39 AM] PCHAIN: $5207 mcap (target: $6000)
  [10:12:41 AM] SEEDG: $5247 mcap (target: $6000)
  [10:12:42 AM] SKNET: $5212 mcap (target: $6000)
  [10:12:44 AM] MDAO: $5375 mcap (target: $6000)
  [10:12:46 AM] TRELAY: $5270 mcap (target: $6000)
  [10:12:48 AM] CSIGN: $5422 mcap (target: $6000)
  [10:12:50 AM] SWARM: $5287 mcap (target: $6000)
  [10:13:07 AM] SEEKBOT: $5253 mcap (target: $6000)
  [10:13:08 AM] AVAULT: $5229 mcap (target: $6000)
  [10:13:10 AM] NSWAP: $5232 mcap (target: $6000)
  [10:13:12 AM] PCHAIN: $5218 mcap (target: $6000)
  [10:13:14 AM] SEEDG: $5259 mcap (target: $6000)
  [10:13:15 AM] SKNET: $5224 mcap (target: $6000)
  [10:13:17 AM] MDAO: $5387 mcap (target: $6000)
  [10:13:19 AM] TRELAY: $5281 mcap (target: $6000)
  [10:13:21 AM] CSIGN: $5434 mcap (target: $6000)
  [10:13:22 AM] SWARM: $5298 mcap (target: $6000)
  [10:13:39 AM] SEEKBOT: $5253 mcap (target: $6000)
  [10:13:41 AM] AVAULT: $5229 mcap (target: $6000)
  [10:13:43 AM] NSWAP: $5232 mcap (target: $6000)
  [10:13:45 AM] PCHAIN: $5218 mcap (target: $6000)
  [10:13:46 AM] SEEDG: $5259 mcap (target: $6000)
  [10:13:48 AM] SKNET: $5224 mcap (target: $6000)
  [10:13:50 AM] MDAO: $5387 mcap (target: $6000)
  [10:13:51 AM] TRELAY: $5281 mcap (target: $6000)
  [10:13:53 AM] CSIGN: $5434 mcap (target: $6000)
  [10:13:55 AM] SWARM: $5298 mcap (target: $6000)
  [10:13:59 AM] TRELAY trade: mcap ~$2500 (buy)
  [10:14:12 AM] SEEKBOT: $5269 mcap (target: $6000)
  [10:14:14 AM] AVAULT: $5244 mcap (target: $6000)
  [10:14:16 AM] NSWAP: $5248 mcap (target: $6000)
  [10:14:18 AM] PCHAIN: $5234 mcap (target: $6000)
  [10:14:20 AM] SEEDG: $5275 mcap (target: $6000)
  [10:14:22 AM] SKNET: $5239 mcap (target: $6000)
  [10:14:23 AM] MDAO: $5403 mcap (target: $6000)
  [10:14:25 AM] TRELAY: $5300 mcap (target: $6000)
  [10:14:27 AM] CSIGN: $5450 mcap (target: $6000)
  [10:14:28 AM] SWARM: $5314 mcap (target: $6000)
  [10:14:46 AM] SEEKBOT: $5269 mcap (target: $6000)
  [10:14:47 AM] AVAULT: $5244 mcap (target: $6000)
  [10:14:49 AM] NSWAP: $5248 mcap (target: $6000)
  [10:14:51 AM] PCHAIN: $5234 mcap (target: $6000)
  [10:14:53 AM] SEEDG: $5275 mcap (target: $6000)
  [10:14:54 AM] SKNET: $5239 mcap (target: $6000)
  [10:14:57 AM] MDAO: $5403 mcap (target: $6000)
  [10:14:59 AM] TRELAY: $5300 mcap (target: $6000)
  [10:15:01 AM] CSIGN: $5450 mcap (target: $6000)
  [10:15:03 AM] SWARM: $5314 mcap (target: $6000)
  [10:15:20 AM] SEEKBOT: $5272 mcap (target: $6000)
  [10:15:22 AM] AVAULT: $5247 mcap (target: $6000)
  [10:15:23 AM] NSWAP: $5251 mcap (target: $6000)
  [10:15:25 AM] PCHAIN: $5237 mcap (target: $6000)
  [10:15:27 AM] SEEDG: $5278 mcap (target: $6000)
  [10:15:29 AM] SKNET: $5242 mcap (target: $6000)
  [10:15:30 AM] MDAO: $5406 mcap (target: $6000)
  [10:15:32 AM] TRELAY: $5303 mcap (target: $6000)
  [10:15:34 AM] CSIGN: $5453 mcap (target: $6000)
  [10:15:36 AM] SWARM: $5317 mcap (target: $6000)
  [10:15:43 AM] AVAULT trade: mcap ~$2459 (buy)
  [10:15:53 AM] SEEKBOT: $5272 mcap (target: $6000)
  [10:15:55 AM] AVAULT: $5251 mcap (target: $6000)
  [10:15:56 AM] NSWAP: $5251 mcap (target: $6000)
  [10:15:58 AM] PCHAIN: $5237 mcap (target: $6000)
  [10:16:00 AM] SEEDG: $5278 mcap (target: $6000)
  [10:16:01 AM] SKNET: $5242 mcap (target: $6000)
  [10:16:03 AM] MDAO: $5406 mcap (target: $6000)
  [10:16:05 AM] TRELAY: $5303 mcap (target: $6000)
  [10:16:07 AM] CSIGN: $5453 mcap (target: $6000)
  [10:16:08 AM] SWARM: $5317 mcap (target: $6000)
  [10:16:26 AM] SEEKBOT: $5290 mcap (target: $6000)
  [10:16:27 AM] SEEKBOT trade: mcap ~$2491 (buy)
